Descrição,Quantidade,Preço Unit. (R$)
SAB.90G AROEIRA VIDA VERDE,5,2.8
SAB.ALMA DE FLORES 130G ESSENCIA FLOR,3,4.93
SAB.ALMA DE FLORES 130G ESSENCIA FLOR,1,4.93
SAB.ALMA DE FLORES 130G INTENSE,3,4.29
SAB.BARRA GIOVANNA BABY BLANC VANILL,1,2.69
SAB.BARRA GIOVANNA BABY BLUEBERRY 90G,13,2.68
SAB.BARRA GIOVANNA BABY CHERRY 90G,4,2.68
SAB.BARRA GIOVANNA BABY KIDS CLASSIC,10,3.01
SAB.DOVE 135G INTENSE HYDRATION,3,9.12
SAB.DOVE 135G RADIANT GLOW,6,9.12
SAB.DOVE 135G UNIFORM SKIN,4,9.12
SAB.DOVE 90G ERVA-DOCE E CAMOMILA,12,3.63
SAB.DOVE 90G KARITE E BAUNILHA,14,3.24
SAB.DOVE 90G ORIGINAL,35,3.62
SAB.DOVE 90G PELE SENSIVEL,12,3.96
SAB.DOVE BABY 75G HIDRAT.BALANCEADA,5,4.59
SAB.DOVE BABY 75G HIDRAT.ENRIQUECIDA,5,4.45
SAB.DOVE BABY LIQUIDO 200ML HIDRAT.EN,4,14.68
SAB.DOVE BABY LIQUIDO 200ML HIDRAT.GL,2,12.34
SAB.DOVE BABY LIQUIDO REFIL 180ML GLI,2,10.92
SAB.DOVE BABY LIQUIDO REFIL 180ML H.D,4,10.92
SAB.DOVE BABY LIQUIDO REFIL 180ML HID,1,10.25
SAB.DOVE ESFO BEAUTY AMORA&F.CITR 28,4,37.91
SAB.DOVE ESFO BEAUTY COCO&A.MASCAV 28,5,37.91
SAB.DOVE ESFO BEAUTY ROMA&M.KARITE 28,4,37.91
SAB.DOVE LIQ.ANTIBAC CUIDA PROTEGE 25,6,12.69
SAB.DOVE LIQUIDO 200ML REFIL AGUA MIC,2,5.76
SAB.DOVE LIQUIDO 200ML REFIL CUIDADO,3,8.49
SAB.DOVE LIQUIDO 250ML ANTI STRESS,2,12.69
SAB.DOVE LIQUIDO 250ML NUTRIÇÃO PROFU,5,10.01
SAB.DOVE LIQUIDO 250ML PELE SENSIVEL,1,8.61
SAB.DOVE LIQUIDO 547ML ACNE CONTROL 3,2,36.68
SAB.DOVE LIQUIDO 547ML INTENSE HYDRAT,2,36.68
SAB.DOVE LIQUIDO 547ML RADIANT GLOW,2,36.68
SAB.DOVE LIQUIDO 547ML SKIN FIRMING,2,36.68
SAB.DOVE LIQUIDO 547ML UNIFORM SKIN,2,36.68
SAB.ESFOLIANTE LAVANDA 100ML FACE BEA,1,6.95
SAB.ESFOLIANTE MORANGO 100ML FACE BEA,2,6.65
SAB.FRANCIS BRASILIDADES BEGE 85G,1,2.05
SAB.FRANCIS BRASILIDADES BRANCO 80G,2,2.08
SAB.FRANCIS BRASILIDADES VERMELHO 85G,3,1.98
SAB.FRANCIS CLASSICO 90G MARINHO,1,2.62
SAB.FRANCIS CLASSICO 90G AZUL FLOR IR,7,2.62
SAB.FRANCIS CLASSICO 90G LARANJA,9,3.11
SAB.FRANCIS CLASSICO 90G ROSA NEGRA,8,3.06
SAB.GRANADO 100G COCO,7,5.14
SAB.GRANADO 90G ANTISEPTICO,4,5.92
SAB.GRANADO 90G ENXOFRE,8,5.65
SAB.GRANADO 90G SULFUROSO,5,5.87
SAB.GRANADO GLIC. ROSA 90GR,2,4.39
SAB.GRANADO GLIC.90G,3,4.85
SAB.GRANADO GLIC.90G ERVA DOCE,6,4.39
SAB.GRANADO GLIC.90G TERAP.BENJOIN,1,2.34
SAB.GRANADO GLIC.90G TERAP.C.DO BRASI,2,3.91
SAB.GRANADO GLIC.90G TERAP.CALENDULA,1,4.34
SAB.GRANADO GLIC.BEBE 90G,8,4.59
SAB.GRANADO GLIC.BEBE 90G CALEND,4,4.59
SAB.GRANADO GLIC.BEBE 90G CAMOMILA,3,4.14
SAB.GRANADO GLIC.BEBE 90G ERVA DOCE,4,4.59
SAB.GRANADO GLIC.BEBE 90G LAVANDA,6,4.59
SAB.GRANADO GLIC.LIQ.300ML HORTELA,3,14.59
SAB.GRANADO GLIC.LIQ.300ML ERVA DOCE,2,13.51
SAB.GRANADO GLIC.LIQ.300ML ROSA,3,13.51
SAB.GRANADO GLIC.LIQ.BEBE 250ML CALE,3,18.5
SAB.GRANADO GLIC.LIQ.BEBE 250ML CAMOM,2,18.5
SAB.GRANADO GLIC.LIQ.BEBE 250ML ERVA,2,18.5
SAB.GRANADO GLIC.LIQ.BEBE 250ML LAVAN,3,18.5
SAB.GRANADO GLIC.LIQ.BEBE 250ML REGUL,1,18.5
SAB.GRANADO GLIC.LIQ.BEBE 500ML CALEN,3,27.5
SAB.GRANADO GLIC.LIQ.BEBE 500ML CAMOM,3,27.5
SAB.GRANADO GLIC.LIQ.BEBE 500ML LAVAN,1,27.5
SAB.GRANADO GLIC.LIQ.BEBE 500ML TRADI,3,27.5
SAB.GRANADO GLIC.LIQ.BEBE REFIL CALEN,5,12.19
SAB.GRANADO GLIC.LIQ.BEBE REFIL CAMOM,1,12.19
SAB.GRANADO GLIC.LIQ.BEBE REFIL REGUL,14,12.19
SAB.GRANADO GLIC.LIQ.REF 300ML CALEND,2,14.91
SAB.GRANADO GLIC.LIQ.REF 300ML CASTAN,2,13.32
SAB.GRANADO GLIC.LIQ.REF 300ML TRADIC,6,13.06
SAB.JOHNSON BABY 200ML LIQ.CAMOMILA,7,13.47
SAB.JOHNSON BABY 200ML LIQ.GLICERINA,4,13.47
SAB.JOHNSON BABY 200ML LIQ.HORA DO SO,1,13.62
SAB.JOHNSON BABY 200ML LIQ.LAVANDA,6,13.47
SAB.JOHNSON BABY 200ML LIQ.LIMPEZA S.,3,12.11
SAB.JOHNSON BABY 400ML LIQ.CAMOMILA,1,23.53
SAB.JOHNSON BABY 400ML LIQ.HORA DO SO,1,23.29
SAB.JOHNSON BABY 400ML LIQ.LAVANDA,2,20.0
SAB.JOHNSON BABY 400ML LIQ.PODEROSA,2,20.0
SAB.JOHNSON BABY 750ML LIQ.CAB.AOS PE,1,47.13
SAB.JOHNSON BABY 80G GLICERINADO,4,4.34
SAB.JOHNSON BABY 80G HORA DO SONO,10,4.15
SAB.JOHNSON BABY 80G REGULAR,2,4.2
SAB.JOHNSON NUTRI SPA 80G AMENDOAS,2,2.42
SAB.LEITE DE ROSAS 90G TRADICIONAL,3,3.75
SAB.LIQ BEAUTYLOO MELANCIA 200ML,2,5.95
SAB.LIQ FACIAL POS MAKE ANTIPOLUIC 10,3,4.95
SAB.LIQ FACIAL PRE MAKE ROSA MOSQ 100,1,4.95
SAB.LIQ GIOVANNA BABY 500ML BLUEA NTI,2,21.31
SAB.LIQ GIOVANNA BABY 500ML CLASSIC A,2,21.31
SAB.LIQ OLEO MURIEL 230ML CEREJA COLA,3,6.99
SAB.LIQ OLEO MURIEL 230ML PISTACH COL,2,6.0
SAB.LIQ OLEO MURIEL 230ML ROMA CARE,2,6.99
SAB.LIQ OLEO MURIEL 230ML ROSA MOSQUE,3,6.99
SAB.LIQ OLEO MURIEL 230ML TRADICIONAL,4,6.0
SAB.LIQ REFIL NIVEA 200ML *CREME CARE,9,7.0
SAB.LIQ REFIL NIVEA 200ML *ERVA DOCE,6,5.92
SAB.LIQ.BEAUTYLOO MORANGO 200ML,2,5.95
SAB.LIQ.BEAUTYLOO UVA 200ML,1,5.95
SAB.LIQ.COLADA/PANTENOL LOVELY 200ML,2,6.0
SAB.LIQ.FACIAL PRE MAKE D-PANTENOL 10,2,4.95
SAB.LIQ.GRANADO ANTIS TRAD 300ML,2,20.92
SAB.LIQ.GRANADO ERVA DOCE 300ML REFIL,3,11.67
SAB.LIQ.KIWI/CHA VERDE LOVELY 200ML,3,5.95
SAB.LIQ.MARACUJA/CAMOMILA LOVELY 200M,3,5.95
SAB.LIQ.MORAN/COLAGENO LOVELY 200ML,3,5.95
SAB.LIQ.PH LIMA 320ML,3,15.25
SAB.LIQ.PH TR AMAZON 320ML,1,15.25
SAB.LIQ.PH TRAD.ODOR 320ML,2,15.25
Sab.LIQ.PITAYA/ROSA MOSQ LOVELY 200ML,3,5.95
SAB.LIQ.PROTEX ERVA DOCE 400ML,3,14.38
SAB.LIQUIDO VULT 200ML ANTIRRESSECAME,2,8.45
SAB.LIQUIDO VULT 200ML CORPO HIDRALUR,2,8.45
SAB.LUX BOTANICALS 85G FLOR DE LOTUS,11,2.21
SAB.LUX BOTANICALS 85G FLOR DE VERBEN,10,2.21
SAB.LUX BOTANICALS 85G ORQUIDEA NEGRA,15,1.95
SAB.LUX GLIC DAMA DA NOITE 100G,10,3.23
SAB.LUX GLICERINADO 85G GARDENIA&O.AM,1,1.95
SAB.LUX LIQ.200ML REFIL GARDEN&O.AME,1,5.27
SAB.LUX LIQ.200ML REFIL LAVANDA,4,6.53
SAB.LUX LIQ.200ML REFIL ORQUIDEA NEGR,1,5.27
SAB.LUX LIQ.250ML ROSAS FRANCESAS,1,7.48
SAB.LUX LIQ.300ML MAOS BROMELIA 300ML,2,10.55
SAB.LUX SUAVE 85G BUQUE DE JASMIM,59,1.83
SAB.LUX SUAVE 85G ROSAS FRANCESAS,36,2.11
SAB.LUX VITORIA REGIA 100G,9,3.23
SAB.NIVEA 250ML **FRANGIPANI&OIL,3,13.73
SAB.NIVEA 250ML **WATER LILY&OIL,4,11.98
SAB.NIVEA 250ML *CREME CARE,3,9.55
SAB.NIVEA 250ML *ERVA DOCE,3,9.63
SAB.NIVEA 250ML DERM DEFENDE,2,10.0
SAB.NIVEA 80G ABACATE E CAMOMILA,5,3.1
SAB.NIVEA 80G KARITE LIMA PERSIA,10,3.1
SAB.NIVEA 85G *ANTIBACTERIANO 3 EM 1,23,2.12
SAB.NIVEA 85G FLOR DE CEREJEIRA,22,0.92
SAB.NIVEA 85G HIDRATANTE AVEIA,18,2.12
SAB.NIVEA 85G HIDRATANTE ERVA DOCE,28,2.12
SAB.NIVEA 85G HIDRATANTE ORQUIDEAS,14,2.12
SAB.NIVEA 85G HIDRATANTE PROT.LEITE,33,2.12
SAB.NIVEA 85G HIDRATANTE TOQUE DE BAU,24,2.09
SAB.NIVEA 90G *MILK SENSITIVE,17,3.01
SAB.NIVEA INTIMO 250ML FRESH,2,15.0
SAB.NIVEA INTIMO 250ML NATURAL,1,15.0
SAB.NIVEA INTIMO 250ML SUAVE,1,15.0
SAB.PALMOLIVE LUMIN ABAC E IRIS 250M,9,8.08
SAB.PALMOLIVE LUMIN OILS 250ML,1,7.92
SAB.PALMOLIVE NATURALS 85G MELANCIA L,26,1.99
SAB.PALMOLIVE NUTRI-MILK 250ML HIDRAT,7,7.8
SAB.PHEBO 100G CREMOSO ALFAZEMA,2,4.05
SAB.PHEBO 100G GERANIO,7,4.05
SAB.PHEBO 100G LIMÃO SICILIANO,12,4.05
SAB.PHEBO 90G AMAZONIAN,7,3.3
SAB.PHEBO 90G LIMA DA PERSIA,18,3.3
SAB.PHEBO 90G NATURELLE,6,3.3
SAB.PHEBO 90G ODOR ROSAS,36,3.3
SAB.PHEBO 90G RAIZ ORIENTE,30,3.3
SAB.PHEBO LIQ.REF 320ML LIMA DA PERSI,3,11.9
SAB.POM-POM 80G OLEO DE AMENDOA,11,2.08
SAB.PROTEX 85G ((((TODOS OS TIPOS)))),163,2.68
SAB.PROTEX INTIMO LIQ.200ML CUIDADO I,2,13.96
SAB.PROTEX LIQ.200ML GLICERINA,18,11.24
SAB.PROTEX LIQ.250ML AVEIA.,3,8.68
SAB.PROTEX LIQ.250ML BALANCE,3,7.67
SAB.PROTEX LIQ.250ML CREAM,4,9.64
SAB.PROTEX LIQ.250ML LIMPEZA PROFUNDA,2,8.68
SAB.PROTEX LIQ.250ML SERUM HIA 250ML,11,10.85
SAB.PROTEX LIQ.250ML SERUM RETINOL NI,1,12.59
SAB.PROTEX LIQ.250ML VITAMINA E,6,9.64
SAB.PROTEX LIQ.CREAM 650ML,1,18.95
SAB.PROTEX LIQ.MEN 250ML SPORT,2,7.67
SAB.PROTEX PACK LV6PG5 85G AVEIA,4,13.0
SAB.PROTEX PACK LV6PG5 90G VITAMINA E,2,14.27
SAB.TIRA MANCHA SOFT HAIR 100ML,3,8.81
SAB.TRICOFACIL 2LT ERVA DOCE,1,19.0
SAB.TRICOFACIL 2LT LAVANDA FRANCESA,2,19.0
SAB.TRICOFACIL 2LT PERFUME DE BEBE,3,19.0
SAB.TRICOFACIL 500ML AMEIXA NEGRA,2,8.91
SAB.TRICOFACIL 500ML ERVA DOCE,6,8.91
SAB.TRICOFACIL 500ML MORANGO,2,8.91
SABONETE ERVA DOCE 500ML BEAUTIFUL,1,7.95
SABONETE ESFOLIANTE FACE BEAUTIFUL 10,6,6.5
SABONETE MOUSSE FACIAL JUPXT,1,7.95
SABONETE ROMA 500ML BEAUTIFUL,2,7.95
SABONETEIRA ARSIWANN PLASTICA,6,2.49
Sabrina Sato FM015 Unha Inf Post 24UN,6,6.99
SABRINA SATO FM016 UNHA INF POST 24UN,6,6.99
SABRINA SATO FM017 UNHA INF POST 24UN,6,6.99
SABRINA SATO FM020 UNHA INF POST 24UN,5,6.99
SABRINA SATO FM022 UNHA INF POST 24UN,6,6.99
SABRINA SATO SP1041 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1042 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1043 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1050 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1060 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1063 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1070 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1071 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1082 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1103 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1128 UNHA POST COLAN 2,6,8.65
SABRINA SATO SP1246 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1317 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1468 UNHA POST COLAN 2,3,8.65
SABRINA SATO SP1473 UNHA POST COLAN 2,5,8.65
SABRINA SATO SP1475 UNHA POST COLAN 2,5,8.65
SABRINA SATO SS3700 UNHA POST CART 12,10,2.5
SAL DE FRUTA ENO 100G,3,22.09
SAL DE FRUTA ENO 100G ABACAXI,2,24.6
SAL DE FRUTA ENO 100G LARANJA,1,23.84
SAL DE FRUTA ENO EV 2X5G,48,2.51
SAL DE FRUTA ENO EV ABACAXI 2X5G,6,3.99
SAL DE FRUTA ENO EV LARANJA 2X5G,4,3.91
SAL DE FRUTA ENO EV LIMAO 2X5G,16,2.51
SALBUTAMOL XPE 120ML,2,4.21
SALICETIL IF EV 10CP BRASTERAPICA,17,1.3
SALON L CR.PENT 5EM1 OLEO DE COCO 1KG,2,23.89
SALON L CR.PENT 5EM1 TRAT PROLONGADO,1,24.37
SALON L CR.PENT SUPER OLEOS 1KG,2,26.99
SALON LINE ATIV.DE CACHOS SOS 300ML C,1,15.0
SALON LINE ATIV.DE CACHOS SOS 300ML I,2,15.0
SALON LINE ATIV.DE CACHOS SOS 300ML N,2,15.0
SALON LINE ATIV.DE CACHOS SOS 300ML U,1,15.0
SALON LINE COND.MEU LISO 300ML *LOIRO,2,19.1
SALON LINE COND.MEU LISO 300ML DESMAI,2,15.19
SALON LINE COND.MEU LISO 300ML MUITO+,2,14.49
SALON LINE COND.SOS 300ML COCO,2,16.01
SALON LINE COND.SOS 300ML KIDS DEFINI,3,16.16
SALON LINE COND.SOS BOMBA 300ML D-PAN,2,13.94
SALON LINE COND.SOS CACHOS 300ML,2,15.99
SALON LINE COND.SOS CACHOS 300ML KIDS,2,16.01
SALON LINE COND.SOS CACHOS 300ML MEL,3,16.83
SALON LINE COND.SOS CACHOS 300ML NUTR,1,15.33
SALON LINE CR.ALISANTE OIL ARGAN 500G,1,32.57
SALON LINE CR.KIDS CACHINHOS BRILHA.1,2,26.99
SALON LINE CR.MULTY MULTIFUNC.300ML K,3,9.48
SALON LINE CR.P/PENT 1KG 5EM1 HIDRAT,2,27.61
SALON LINE CR.P/PENT.1KG DEF.MAX.LIBE,2,26.99
SALON LINE CR.P/PENT.1KG KIDS,2,26.99
SALON LINE CR.P/PENT.300ML CACHOS OST,2,12.79
SALON LINE CR.P/PENT.300ML DEF.EXTRAO,2,12.79
SALON LINE CR.P/PENT.DEFINICAO ANT.1K,2,26.99
SALON LINE CR.P/PENT.SOS KIDS NUTR 30,2,12.99
SALON LINE CR.P/PENTEAR 1KG RED VOL,3,26.99
SALON LINE CR.P/PENTEAR 1KG BRIL.MAXI,3,26.99
SALON LINE CR.P/PENTEAR 1KG COCO,2,23.89
SALON LINE CR.P/PENTEAR 1KG DEF NATUR,5,27.0
SALON LINE CR.P/PENTEAR 1KG DEF.INTEN,2,26.99
SALON LINE CR.P/PENTEAR 1KG HID.PROFU,2,26.99
SALON LINE CR.P/PENTEAR 1KG NUT.REPAR,2,26.99
SALON LINE CR.P/PENTEAR 1KG REC.INTEN,2,26.99
SALON LINE CR.P/PENTEAR 300ML MEL INT,2,12.63
SALON LINE CR.P/PENTEAR 300ML SOS BOM,2,13.21
SALON LINE CR.P/PENTEAR 300ML SOS COC,2,13.0
SALON LINE CR.P/PENTEAR AZEITE DE OL.,2,26.99
SALON LINE GELACREME DEF ULTRA EXTRAO,7,21.63
SALON LINE GELACREME FIX ULTRA EXTRAO,8,21.63
SALON LINE GELATINA 500G XEROSA VIBES,3,21.2
SALON LINE GELATINA DEF INTENSA 550G,2,19.16
SALON LINE GELATINA ESTILIZ #TDC 300G,2,16.94
SALON LINE GELATINA TDC 500G SUPER DE,1,19.16
SALON LINE GELATINA TDC 500G SUPER VO,4,19.0
SALON LINE GELATINA TDC 550G BABOSA,3,18.99
SALON LINE GELATINA TDC 550G DEF NATU,2,21.2
SALON LINE GELATINA TDC 550G DEF.EXTR,1,21.2
SALON LINE GELATINA TDC 550G HID CREM,4,21.2
SALON LINE GELATINA TDC 550G LINHACA,2,19.16
SALON LINE GELATINA TDC 550G OLEO RIC,3,19.16
SALON LINE GELATINA TDC 550G PINK LEM,2,21.2
SALON LINE GELATINA TDC 550G SUPER TR,2,19.16
SALON LINE GELATINA TODE.C.300G SUPER,2,18.39
SALON LINE GELATINA TODE.C.320G ALTA,1,17.71
SALON LINE GUANIDINA 218G SPECIAL GIR,2,23.73
SALON LINE GUANIDINA KIT 125G MILD,3,23.99
SALON LINE GUANIDINA KIT 215G SUPER M,1,23.99
SALON LINE GUANIDINA KIT 218G MED/FIN,2,24.49
SALON LINE GUANIDINA KIT 218G REGULAR,2,21.01
SALON LINE KIT RELAX.CACHOS DEF/SOL 2,14,25.98
SALON LINE KIT S.L OLEO DE ALGODAO,2,25.98
SALON LINE KIT S.L OLEO DE ARGAN,4,25.98
SALON LINE KIT S.L OLEO EXTRAORDINARI,2,25.98
SALON LINE KIT SOS CACHOS CALCIO E OI,2,33.8
SALON LINE LC.PERMANETE AFRO 500ML ON,2,21.13
SALON LINE LEAVE PRIMER LISO OSTEN 24,2,16.37
SALON LINE MASC.CHOCOLATE 300G,1,33.8
SALON LINE MASC.MEU LISO 300G DESMAIA,2,16.28
SALON LINE MASC.MEU LISO 300G MUITO+L,2,15.44
SALON LINE MASC.SOS BOMBA 500G D-PANT,2,19.0
SALON LINE MASC.SOS CACHOS 500G,3,18.99
SALON LINE MASC.SOS CACHOS 500G KIDS,1,15.98
SALON LINE MASC.TO PODENDO 1KG N3 BIO,2,15.41
SALON LINE MASC.TO PODENDO 1KG N3 TUR,2,16.36
SALON LINE MASC.TO PODENDO 1KG N3 ULT,3,16.54
SALON LINE MOUSSE 240ML DEFINICAO NAT,2,23.11
SALON LINE PERMANENTE AFRO 500G RELAX,2,30.0
SALON LINE SH. SOS U.GLOS DERREMP PRO,2,17.99
SALON LINE SH.KIDS DEFINICAO 300ML,2,15.63
SALON LINE SH.MEU LISO 300ML DESMAIAD,2,12.89
SALON LINE SH.MEU LISO 300ML LISO OST,2,13.27
SALON LINE SH.MEU LISO ESCUDO ANTIPOR,3,13.7
SALON LINE SH.SOS BOMBA 300ML D-PANTE,2,14.98
SALON LINE SH.SOS CACHOS 300ML,2,14.79
SALON LINE SH.SOS CACHOS 300ML COCO,2,14.98
SALON LINE SH.SOS CACHOS 300ML KIDS,2,14.98
SALON LINE SH.SOS CACHOS 300ML MEL IN,2,15.99
SALON LINE SH.SOS CACHOS 300ML NUTRIT,3,15.63
SALON LINE TONICO BOMBA NOT.FORT 100M,3,11.99
SALON LINE TONICO SOS BOMBA 100ML ANT,1,11.99
SALON LINE TONICO SOS BOMBA 100ML CRE,1,11.99
SALON.L GELATINA HIDRAT KIDS 400G,2,17.0
SALON.L GELATINA MANT KARITE 400G,1,17.0
SALON.L GELATINA NUTRITIVA 550G TDC,2,19.16
SALON.L GELATINA OLEO DE COCO 400G,2,17.0
SALON.L GELATINA SUPER OLEOS 400G,1,17.0
SALONPAS EMPLASTRO PQ 10UN,9,8.58
SALONPAS GEL PATCH 1ENV/3UN,10,16.49
SALONPAS PATCH 5UN,2,22.07
SALONPAS SPRAY ICE COLD 120ML,1,33.32
"SANDRENA GEL 0,5MG 28 SACHES",1,28.66
"SANDRENA GEL 1,0MG 28 SACHES",1,59.53
SANY D 14.000UI C 4 COMP,1,22.91
SANY D 2000UI 30 COMPRIMIDOS,2,39.31
SANY D 50000UI 4CP,2,53.39
SANY D 7000UI 8CP,1,21.93
"SAYA CONTROL 1,5MG 1CP DKT",316,1.71
SBP MULT.AER EUCALIPTO 300ML+150ML GR,9,11.5
SBP MULTINSETICIDA AER CITRONELA 450M,11,11.2
SEAKALM LIQ.100ML NATULAB,2,25.89
SEAKALM MELATONINA 15ML NATULAB,3,9.57
SECNIDAZOL 1000MG 2CP PHARLAB,1,3.11
SEDATIF PC 60CP,5,73.48
SEKI XP 120ML,2,25.97
SELENE 21DR,2,29.58
SELOZOK 100MG 30CP,1,73.04
SELOZOK 25MG 30CP,4,22.21
SELOZOK 25MG 60CP,2,64.4
SELOZOK 50MG 30CP,3,68.09
SELOZOK 50MG 60CP,1,89.11
SEPURIN 20DR,1,26.88
SER.LAVAGEM NASAL NOSEWASH 10ML GALIN,3,19.69
SER.LAVAGEM NASAL NOSEWASH 20ML CHASE,2,19.69
SER.LAVAGEM NASAL NOSEWASH 20ML MARSH,3,19.69
SER.LAVAGEM NASAL NOSEWASH 20ML SKYE,2,19.69
SERETIDE DISKUS 50/250MG 60DOSES,1,107.31
SERETIDE SPRAY 25/125MG 120DOSES,1,150.68
SERINGA BD 10ML S/AGULHA,1,0.82
SERINGA BD ULTRA FINEII 10UN 30U/8MM/,2,29.32
"SERINGA DESCARPACK 1ML INSULINA 8x0,3",23,0.39
SERINGA DESCARPACK 20ML S/AGULHA,1,0.67
SERINGA DESCARPACK C/AGULHA 3ML 25X7,114,0.39
SERINGA DESCARPACK C/AGULHA 5ML 25X7,137,0.41
SERUM CORP DOVE PANTENOL 380ML,2,33.85
SERUM ANTIOLHEIRAS 15G SALLVE,2,64.49
SERUM CONCENTRADO CORP DOVE 100ML,1,50.96
SERUM CORP DOVE PRO CERAMIDAS 380ML,2,30.94
SÉRUM CORPORAL DOVE PRO CERAMIDAS 18,2,18.01
SERUM DOVE CORP INT HIALUR 10% 380ML,2,36.58
SERUM DOVE CORP NIACINA+ UNIFORMIZ 38,2,35.0
SERUM DOVE CORP PRO-RETINOL+FIRMAD 38,2,31.04
SERUM DOVE CORPORAL HIALU 180ML,2,20.15
SERUM FACIAL ACIDO HYALURONICO 30ML,4,11.98
SERUM FACIAL COLAGENO 30ML,4,11.98
SERUM FACIAL ROSA MOSQUETA 30ML,4,12.88
SERUM FACIAL VITAMINA C 30ML,3,11.98
SÉRUM S/PERF CORP PANT+DER REP180ML,1,19.2
SERUM SEDA 190ML BOOM DEFINICAO FLEXI,3,16.26
SERUM SIAGE 48ML SCALP REBALANCE,1,52.59
SERUM SIAGE AUT CAUTERIZACAO FIOS 60M,1,49.99
SERUM TRESEMME BRILHO LAMELAR 170ML,2,27.91
SEXTOOO 10ML PREVENT,39,0.52
SH CLEAR 200ML VINI JR HIDRAT CAMPEAO,5,14.71
SH CLEAR 400ML VINI JR HIDRAT CAMPEAO,2,26.14
SH CLEAR DERMA ANTIQUEDA 300ML,1,39.9
SH PAMPERS GLICERINA 200ML,2,14.62
SH SIAGE PRO CRONOLOGY 250ML,1,35.54
SH SIAGE RESIST ANTIQUEDA 300ML,1,40.46
SH VULT CACHOS 350ML,2,15.8
SH VULT CRESPOS 350ML,3,15.3
SH VULT EXPLOSAO DE FORCA 350ML,2,15.8
SH VULT LISOS 350ML,2,15.8
SH VULT OLEOS PODEROSOS NUTRI 350ML,3,15.3
SH VULT ONDULADOS 350ML,2,15.3
SH VULT RECARGA DE HIDRAT 350ML,3,15.3
SH.ABOVE A SECO 150ML DRY CANDY,1,16.39
SH.ABOVE A SECO 150ML FRESH,1,16.39
SH.CLEAR 200ML MEN CABELO E BARBA,2,15.67
SH.CLEAR ANTI-CASPA 200ML *MEN COOL M,1,14.41
SH.CLEAR ANTI-CASPA 400ML *MEN ICE ME,1,26.13
SH.CLEAR ANTI-CASPA 400ML 2 EM 1,1,26.14
SH.CLEAR ANTI-CASPA 400ML QUEDA CONTR,2,26.14
SH.CLEAR ANTI-CASPA L400ML P330ML 2 E,2,21.86
SH.CLEAR ANTI-CASPA L400ML P330ML ANT,2,22.08
SH.CLEAR ANTI-CASPA L400ML P330ML DET,2,21.39
SH.CLEAR ANTI-CASPA L400ML P330ML ICE,1,21.82
SH.DIMENSION 2/1 200ML OLEOSO,2,19.55
SH.DIMENSION 2/1 200ML SECO,2,19.95
SH.DIMENSION 3/1 ANTI-CASPA 200ML OLE,2,19.55
SH.DOVE 190ML HIDRATACAO HIALURON VIT,2,13.25
SH.DOVE 190ML NUTRICAO TRI OLEOS,1,13.52
SH.DOVE 190ML RECONSTRUCAO AMINOACIDO,1,10.67
SH.DOVE 190ML UMECTACAO COCO ANTIOXI,3,10.67
SH.DOVE 190ML UVREPAIR/GLOW FERULICO,2,10.67
SH.ELSEVE 200ML CACHOS DOS SONHOS,3,11.58
SH.ELSEVE 200ML COLLAGEN LIFTER,36,15.25
SH.ELSEVE 200ML GLYCOLIC GLOSS,5,12.54
SH.ELSEVE 200ML HYDRA HIALURONICO,3,11.59
SH.ELSEVE 200ML LISO DOS SONHOS,14,11.59
SH.ELSEVE 200ML OLEO EXTRA NUTRICAO,2,11.53
SH.ELSEVE 200ML PURE HIALURONICO,2,12.16
SH.ELSEVE 200ML REPARACAO TOTAL 5,2,11.59
SH.ELSEVE 250ML BOND REPAIR,4,27.73
SH.ELSEVE 400ML CACHOS DOS SONHOS,4,15.51
SH.ELSEVE 400ML COLLAGEN LIFTER,4,35.63
SH.ELSEVE 400ML GLYCOLIC GLOSS,10,20.79
SH.ELSEVE 400ML HYDRA-DETOX ANTI-CASP,4,26.57
SH.ELSEVE 400ML LISO DOS SONHOS SUPER,4,20.79
SH.ELSEVE 400ML OLEO EXTRA NUTRIÇÃO,3,20.77
SH.ELSEVE 400ML PURE HIALURONICO,3,20.79
SH.ELSEVE 400ML REPARACAO TOTAL 5,1,20.82
SH.GRANADO BEBE 250ML CALEND,2,13.63
SH.GRANADO BEBE 250ML CAMOMILA,3,13.63
SH.GRANADO BEBE 250ML ERVA DOCE,3,13.63
SH.GRANADO BEBE 250ML LAVANDA,1,13.63
SH.GRANADO BEBE 250ML REFIL CAMOMILA,3,10.92
SH.GRANADO BEBE 250ML REFIL TRADICION,3,10.92
SH.GRANADO BEBE 250ML TRADICIONAL,2,13.63
SH.HEAD&SHOULDERS 200ML *3EM1,2,13.11
