Descrição,Quantidade,Preço Unit. (R$)
AP.PRESTOBARBA 3 4UN CARVAO,3,20.52
AP.PRESTOBARBA 3 CARVAO 2UN,3,13.35
AP.PRESTOBARBA 3 CARVAO ATIVADO,4,3.92
AP.PRESTOBARBA 3 L4UN P3UN MASCULINO,3,20.49
AP.PRESTOBARBA CHAMP 3 1UN SUAVE,3,3.92
AP.PRESTOBARBA GILLETTE DERMA PR.L4P3,3,21.76
AP.PRESTOBARBA GILLETTE DERMA PROTEC.,17,13.65
AP.PRESTOBARBA ULTRA GRIP 2UN CM MASC,1,4.85
AP.PRESTOBARBA ULTRA GRIP 2UN SENSITI,47,4.47
AP.PROBAK II 2UN,14,3.03
APAXY 300MG C/20 CP GEOLAB,1,14.96
APEVITIN BC XP 240ML EMS,2,11.19
"APIXABANA 2,5 MG 20 CP EMS",1,22.71
APIXABANA 5MG 20CP,1,17.82
APIXABANA 5MG 60CP SANDOZ,1,48.57
APLAUSE 20MG 30CP,1,81.18
APRACUR EV 6UN,15,7.14
APRESOLINA 25MG 20DR,16,5.24
APRESOLINA 25MG 60DR,3,17.71
APRESOLINA 50MG 20DR,12,11.06
ARADOIS 25MG 30CP,1,30.43
ARADOIS 50MG 30CP,7,8.72
ARADOIS 50MG 60 CP,2,16.07
ARCALION 20DR,1,35.19
ARCOXIA 90MG 14CP*,1,127.72
AREMAZ 7MG/ML 100ML XPE HEDERA,3,6.15
ARFLEX RETARD 200MG 12CL,2,51.03
ARFLEX RETARD 200MG 6CL,2,36.17
ARIPIPRAZOL 15MG C/30 COMP BIOSINTETI,2,103.27
ARISTAB 10MG 10CP*,1,72.33
ARISTAB 1MG SUSP OR 150ML,2,166.33
ARLIVRY XP CEREJA 100ML NATULAB,1,7.29
ARNICA CRM 60 G,11,7.66
ARNICA TOTAL GEL CR 60G ALMEIDA PRADO,3,16.33
ARPADOL 400MG 30CP,1,65.01
ARTANE 2MG 30CP *,4,8.89
ARTELAC COL 10ML,1,14.93
ARTROGEN DUO 30 SACHES,1,154.7
ARTROLIVE 30CAPS,2,69.65
ARTROLIVE SACHES 30EV,1,110.0
ASCORVIT-C 1000MG 30CPS,3,28.26
